fixture,opponent_team,total_points,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
31,9,5,2,1,4,90,0,1,0,1,0,0,0,0,0,0,0,19,28,25.4,45,9.8,79,-350292,1344008,28075,378367
41,2,5,2,1,5,87,0,1,0,1,0,0,0,0,0,0,0,19,24.6,42.7,49,11.6,79,-182936,1189232,22544,205480
56,14,7,3,1,6,90,1,0,0,3,0,0,0,1,0,0,1,20,34.2,18.5,52,10.5,78,-123281,1091602,34101,157382
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,172673,0,0
11,10,0,4,2,2,15,0,0,0,0,0,0,0,1,0,0,0,-1,0,0.3,0,0,44,-49600,122934,711,50311
21,3,1,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,5,3.8,0.4,0,0.4,44,-17045,109497,6225,23270
31,9,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,43,-16523,94780,3196,19719
41,2,1,2,1,5,26,0,0,0,1,0,0,0,0,0,0,0,9,8.4,10.8,4,2.3,43,-10096,86069,2673,12769
56,14,1,3,1,6,10,0,0,0,0,0,0,0,0,0,0,0,3,4.6,0.8,0,0.5,42,-5740,81612,4087,9827
1,7,6,0,2,1,90,0,0,1,0,0,0,0,0,0,2,0,25,19,0,0,1.9,50,0,1128297,0,0
11,10,1,4,2,2,90,0,0,0,2,0,0,0,0,0,1,0,10,11.6,0,0,1.2,50,31287,1369348,93632,62345
21,3,6,0,3,3,90,0,0,1,0,0,0,0,0,0,1,0,20,7.6,0,0,0.8,50,-61359,1366505,88334,149693
31,9,2,2,1,4,90,0,0,0,1,0,0,0,0,0,2,0,12,18.8,0,0,1.9,50,-12169,1422476,88190,100359
41,2,2,2,1,5,90,0,0,0,1,0,0,0,0,0,2,0,13,17.4,0,0,1.7,50,-53340,1407588,48276,101616
56,14,2,3,1,6,90,0,0,0,3,0,0,0,0,0,3,0,14,25.2,0,0,2.5,50,-250290,1164227,17642,267932
1,7,7,0,2,1,90,0,0,1,0,0,0,0,0,0,0,1,26,24.2,0.6,2,2.7,50,0,689975,0,0
