Likes,Comments,Views
13542,422,619387
6160,311,146821
4686,453,59177
15150,587,319387
5577,333,121692
207,26,2985
15652,500,459455
109,16,9542
182,15,19525
83707,1717,20548194
329,29,14336
823,49,29864
227790,8698,13966109
714,14,119878
5174,238,187956
2184,3,32162
2696,18,40240
94131,920,3921128
577,46,14780
488,31,21332
2286473,86935,250793774
10402,123,1671725
16909,215,3308580
26306,331,2225959
5010,123,159448
119953,13263,1693263
4663,306,33480
10389,905,97930
9627,577,318166
242721,7745,5833454
14741,913,811965
5041,252,141779
1240,9,54917
470,6,29055
365971,34419,35490831
3001232,110160,23836066
1634,52,148482
132,19,2944
542,12,71547
106056,4284,1554691
519,11,57394
6823113,270948,915457091
1259,9,9958
152593,3290,15666598
718,5,64395
145,3,10105
304,16,16123
23546,392,2367294
7219,314,312191
731644,8894,45665114
50488,8741,1090694
12595,216,2861258
94,9,3773
112098,9775,5451348
77893,5741,3927439
31578,1904,2710713
139442,10653,7320107
48163,2178,1669551
37893,2061,1335899
121547,4043,6315803
158510,6026,8947796
146566,13664,14073219
23824,1496,805994
30033,1209,810069
9093,759,355919
103051,2343,2575482
104631,4839,4087572
77866,2958,2349546
18957,566,702174
371116,13239,17069830
23502,1113,1016391
28031,1690,1348450
25021,1216,967211
2400,214,156294
47460,1517,1658204
44713,2725,1186255
227589,4648,6340958
18649,1339,748675
58950,1107,7755963
672749,62897,48018833
47086,3535,3452285
140841,7330,10338163
25825,1458,608177
501165,31086,32791832
71688,1712,4783245
26616,1143,441062
155534,10306,2564092
75028,3457,4695664
63497,4004,2936679
19325,1128,385239
205831,15677,11829970
175132,6049,4357193
774,83,48984
1241,70,47430
105355,7424,5547667
5077,351,93633
41927,1112,1952077
75063,3724,12244410
22891,1780,1006579
6851,178,963335
32631,1587,1322089
11248,505,384035
959,138,28759
218539,4421,19256162
281285,3360,17282158
378858,18860,17975269
65909,2122,1864630
1056430,46966,75785129
1221507,43126,86169225
3721,322,45157
861503,17975,79941868
51437,468,4341289
45628,17264,5283664
141654,2756,11184537
126347,83990,11188525
737,52,15390
7650,887,231488
34599,1349,824297
1032,22,54030
5352,496,154461
95162,2272,11235146
2694,108,74586
2817,59,286228
28966,676,906361
29955,557,1057862
26049,850,909323
21274,16178,1100740
2271,249,240234
24014,716,947162
526,94,11293
37370,902,2578373
1159,91,64703
13796,10330,689494
1968,96,56066
10725,403,155562
-1,335,27451
3026,538,30405
2113,138,98972
65719,791,2724499
317,32,3618
38690,780,1385264
1208,930,22966
953712,35658,84410562
129100,2332,7846143
353053,14909,41739024
3221,209,102646
4732,256,78050
2135,136,41057
6865,554,55078
2740,86,39049
2538,435,51747
726,50,21868
920,93,9533
1656,236,34090
15637,1279,309098
4063,245,62428
1716,308,16080
1815,254,41900
1944,160,23225
670,125,10451
3001265,110162,23836066
19997,1540,271333
2009,317,30632
1382,134,23763
834,84,13489
7185,463,149396
2952,478,57411
3645,225,38560
4049,807,52323
1006,40,11230
6117,745,126185
2175,115,35288
947,108,18535
2342,226,34789
29728,8832,405791
1431,260,26709
3500,381,107906
44616,3098,426875
193217,6129,1765945
1015,96,17191
1417,159,34941
196898,15525,1223879
18063,978,184093
8815,1353,200452
1155,132,21112
535,132,10339
462,62,10737
5035,564,131760
1677,290,23239
2194,256,36560
19671,1151,259851
2967,565,63886
48041,1435,450066
2025,308,46862
10321,930,205486
1144,39,12289
329,29,14341
187163,3835,13048900
59866,979,2844014
404,15,20861
53333,1425,2817800
1638369,58851,84747957
1572,27,48918
1455,6,34655
3498,8,53592
6057,165,589429
797,71,15177
7007,218,632477
2683,10,49294
9126,176,497458
3933,159,400330
47306,1379,2529301
186218,5904,9803295
13657,484,1120660
