followers_count,following_count,tweet_like_count,tweet_retweet_count,tweet_reply_count
74251,5280,20,4,1
102,282,0,0,0
566,548,0,0,0
363,179,0,0,0
2373,4949,0,0,1
930,1047,0,0,0
1077,630,3,2,1
138,576,1,0,0
995,4224,10,3,3
454,1580,0,0,0
22,79,0,0,0
1,23,0,0,0
429,418,0,0,0
23,87,1,0,0
433,417,0,0,1
1331,403,11,1,1
804,2452,0,0,0
4,34,0,0,0
649,577,52,10,4
2370,2767,6,1,1
4450,780,1,0,1
11676,2038,0,2,1
9198,9660,1,0,0
1623,2666,0,0,1
1438,1962,0,0,0
1133,1311,0,0,0
12,260,5,2,0
1811,1711,3,0,0
1959,878,0,0,1
426,1317,1,0,0
41,312,0,0,1
130,53,0,1,0
393,2303,1,0,0
17996,302,0,0,0
70,142,0,0,0
291,813,0,0,2
221,1291,2,0,0
33498,13058,42,18,1
113,234,0,0,0
34,394,1,0,0
1400,1278,2,0,0
2471,2496,1,0,2
188,156,1,0,0
59,78,1,0,0
8672,2108,2,0,0
924,45,9,5,0
2580,2370,5,0,1
34,182,0,0,0
1770,789,4,0,0
1456,615,1,0,0
299,878,2,0,0
15,273,0,0,0
847,1790,1,0,0
162,162,0,0,0
27,295,1,0,1
1981,2281,2,1,1
6766,2960,3,0,0
1324,1093,1,0,0
3,71,0,0,0
1400,1278,2,0,0
149,1018,0,0,1
252,189,10,0,0
625,397,0,0,0
1004,351,0,0,0
968,560,0,0,0
17,19,1,0,0
8,86,0,0,0
99,341,3,3,0
303,589,0,0,0
2093,4223,0,0,0
131,279,2,0,0
445,419,1,0,1
2676,2144,1,0,1
2612,2660,0,0,0
146,233,0,0,0
3370,5006,0,0,0
569,908,1,0,0
762,735,0,0,0
292,1507,0,0,1
240,249,1,0,0
4,78,0,0,0
3029,1398,5,0,1
192,837,1,1,0
79,437,1,0,0
35,138,0,0,1
2947,4700,0,0,0
7,72,0,0,0
1224,541,0,0,0
91,71,6,0,1
1868,2947,1,0,0
2608,2245,6,2,0
3,66,0,0,0
756,1873,0,0,0
861,332,0,0,0
34154,21891,3,1,0
2485,2403,7,0,2
1368,1561,0,0,0
270,154,1,0,1
640,740,0,0,0
770,1986,2,0,1
936,3640,16,2,0
8269,3116,2,0,1
9,80,0,0,0
112,127,0,0,0
357,413,1,0,0
0,10,0,0,0
501,573,1,0,1
235,200,0,0,0
65,301,0,0,0
5453,4549,0,0,0
281,340,0,0,0
521,1531,1,0,0
354,196,0,0,0
1879,2982,3,3,0
23,186,0,0,0
131,531,0,0,0
149,403,4,0,2
1382,1137,14,2,0
418,2438,3,0,0
168,820,1,0,0
276,114,3,0,1
2803,934,0,0,0
222,231,0,0,0
574,1464,1,0,0
4450,780,1,0,1
1134,2466,9,1,0
567,912,1,0,0
