price,usdprice
9.5,0.2802
5.5,0.1622
4.3,0.1243
9,0.2601
8,0.2312
7.3,0.211
7,0.2023
7,0.2023
7.2,0.2081
9.5,0.2746
5,0.1445
8,0.2312
8,0.2312
6.5,0.1879
4.5,0.1301
9.5,0.2746
5.5,0.159
4.5,0.1301
9,0.2603
8,0.2313
7.8,0.2256
6.5,0.188
7.5,0.2169
7.5,0.2169
9,0.2603
5.1,0.1475
8.5,0.2458
8,0.2313
6.1,0.1764
4.75,0.1374
9.5,0.2747
5.5,0.1591
9.5,0.2717
4.75,0.1358
9,0.2574
8,0.2288
7.4,0.2116
6.5,0.1859
7.5,0.2145
9.5,0.2717
5,0.143
8.5,0.2431
8,0.2288
6,0.1716
4.75,0.1358
9.5,0.2717
5.5,0.1573
7.5,0.2089
14.6,0.4066
37,1.0304
9.5,0.2646
5.5,0.1532
14,0.3899
39,1.086
8.5,0.2367
6.8,0.1894
13.2,0.3676
33,0.919
8,0.2228
13.5,0.3759
11,0.3063
9,0.2506
13.4,0.3732
5,0.1392
13,0.362
36,1.0025
9,0.2506
8,0.2228
13.6,0.3787
46,1.281
7.5,0.2089
7,0.1949
15,0.4177
36,1.0025
7,0.1949
18,0.5013
45,1.2531
13.5,0.3759
42,1.1696
9.5,0.2646
5.5,0.1532
14,0.3899
38,1.0582
8.75,0.2437
8.5,0.2367
13.3,0.3704
49,1.3645
7.5,0.2089
7.5,0.2089
13,0.362
47,1.3088
8,0.2228
18,0.5013
39,1.086
6.6,0.1838
4.6,0.1281
13.5,0.3759
36,1.0025
9.8,0.2729
5.5,0.1532
14.5,0.4038
42,1.1696
8,0.219
14.6,0.3997
35,0.9581
8,0.219
6,0.1642
14,0.3832
42,1.1497
9.5,0.2601
5.75,0.1574
14,0.3832
38,1.0402
8.8,0.2409
6.6,0.1807
13.2,0.3613
32,0.876
10,0.2737
14,0.3832
45,1.2319
8,0.219
12.2,0.334
47,1.2866
12.5,0.3422
9,0.2464
13.7,0.375
4.5,0.1232
13,0.3559
34,0.9307
9,0.2464
8,0.219
13.6,0.3723
46,1.2592
8,0.219
7,0.1916
16,0.438
36,0.9855
7,0.1916
18,0.4927
45,1.2319
13.5,0.3696
42,1.1497
9.5,0.2601
5.75,0.1574
13.5,0.3696
38,1.0402
8.75,0.2395
8.5,0.2327
13,0.3559
46,1.2592
7.8,0.2135
8,0.219
13,0.3559
44,1.2045
17,0.4654
39,1.0676
7.7,0.2108
4.75,0.13
13.2,0.3613
36,0.9855
9.8,0.2683
5.5,0.1506
14.5,0.3969
38,1.0402
7.5,0.2175
14.8,0.4292
33,0.9571
8,0.232
6,0.174
14,0.406
42,1.2181
10,0.29
5.75,0.1668
14,0.406
38,1.1021
9.5,0.2755
7,0.203
13.2,0.3828
33,0.9571
11,0.319
14.25,0.4133
42.5,1.2326
8.5,0.2465
7.75,0.2248
13.65,0.3959
43,1.2471
13,0.377
9,0.261
14,0.406
4.8,0.1392
13,0.377
33,0.9571
9,0.261
8,0.232
13.8,0.4002
46,1.3341
7.7,0.2233
7,0.203
15,0.435
34,0.9861
7,0.203
18,0.522
43,1.2471
6.5,0.1885
14,0.406
39,1.1311
9.5,0.2755
6,0.174
14.25,0.4133
37,1.0731
8.8,0.2552
8.5,0.2465
13.2,0.3828
45,1.3051
7.5,0.2175
7.5,0.2175
13,0.377
46,1.3341
8.5,0.2465
17,0.493
42,1.2181
6.5,0.1885
4.75,0.1378
14,0.406
35,1.0151
10,0.29
5.5,0.1595
14.5,0.4205
37,1.0731
8,0.2319
14.4,0.4174
33,0.9565
9,0.2609
6,0.1739
14,0.4058
40,1.1594
11,0.3188
5.75,0.1667
14,0.4058
36,1.0435
9.5,0.2754
7.4,0.2145
13.4,0.3884
34,0.9855
10.75,0.3116
14.25,0.413
42,1.2174
9.5,0.2754
8.5,0.2464
14,0.4058
46,1.3333
13,0.3768
9,0.2609
14.4,0.4174
4.8,0.1391
13.25,0.3841
34,0.9855
9,0.2609
8,0.2319
13.8,0.4
46,1.3333
8.3,0.2406
7,0.2029
16,0.4638
36,1.0435
7,0.2029
18,0.5217
42,1.2174
6.8,0.1971
14,0.4058
39,1.1304
10,0.2899
4.7,0.1362
14,0.4058
35,1.0145
8.9,0.258
8.5,0.2464
13.5,0.3913
45,1.3043
8,0.2319
7.5,0.2174
13,0.3768
46,1.3333
8.75,0.2536
17,0.4928
39,1.1304
7.5,0.2174
4.8,0.1391
13.8,0.4
35,1.0145
10,0.2899
5.5,0.1594
14,0.4058
37,1.0725
8.4,0.2407
15.5,0.4441
33,0.9456
9,0.2579
6,0.1719
13.5,0.3868
40,1.1461
11,0.3152
5.75,0.1648
15,0.4298
36,1.0315
9.8,0.2808
7.2,0.2063
14.4,0.4126
33,0.9456
10.5,0.3009
15,0.4298
42,1.2034
7.9,0.2264
14.8,0.4241
44,1.2607
13,0.3725
9,0.2579
15.2,0.4355
5.5,0.1576
14.5,0.4155
34,0.9742
9,0.2579
7,0.2006
14.5,0.4155
38,1.0888
8.2,0.235
7,0.2006
14,0.4011
34,0.9742
7,0.2006
18,0.5158
42,1.2034
6.5,0.1862
15,0.4298
39,1.1175
11,0.3152
4.6,0.1318
14.5,0.4155
35,1.0029
9,0.2579
8.5,0.2436
14.2,0.4069
45,1.2894
7,0.2006
7,0.2006
14,0.4011
44,1.2607
8.75,0.2507
18,0.5158
47,1.3467
7.8,0.2235
4.5,0.1289
14,0.4011
36,1.0315
7.5,0.2149
4.35,0.1246
15,0.4298
35,1.0029
8.5,0.2422
15.7,0.4473
33,0.9402
11,0.3134
6,0.1709
15.5,0.4416
37,1.0541
10,0.2849
7.5,0.2137
13,0.3704
35,0.9972
10.5,0.2991
15.5,0.4416
43,1.2251
9,0.2564
13.8,0.3932
43,1.2251
12.5,0.3561
9.5,0.2707
14.6,0.416
5.5,0.1567
13.5,0.3846
35,0.9972
9,0.2564
8,0.2279
14,0.3989
46,1.3105
8.2,0.2336
7,0.1994
15,0.4274
36,1.0256
18,0.5128
6.5,0.1852
14.5,0.4131
40,1.1396
11,0.3134
5.5,0.1567
14.75,0.4202
36,1.0256
9,0.2564
8.25,0.235
14.5,0.4131
45,1.2821
7.5,0.2137
8.5,0.2422
13.5,0.3846
44,1.2536
8.5,0.2422
18,0.5128
52,1.4815
7.7,0.2194
5.5,0.1567
14.75,0.4202
35,0.9972
10,0.2849
5.5,0.1567
15.6,0.4444
37,1.0541
8.5,0.2381
15.5,0.4342
34,0.9524
10,0.2801
6.5,0.1821
15,0.4202
39,1.0924
11,0.3081
6,0.1681
15,0.4202
40,1.1204
8,0.2241
7.4,0.2073
14,0.3922
35,0.9804
10.5,0.2941
15,0.4202
43,1.2045
8.25,0.2311
13.8,0.3866
44,1.2325
13,0.3641
9.5,0.2661
14.5,0.4062
5.7,0.1597
13.75,0.3852
34,0.9524
9.5,0.2661
7.5,0.2101
14,0.3922
40,1.1204
8,0.2241
7,0.1961
15,0.4202
36,1.0084
5.05,0.1415
18,0.5042
37,1.0364
6.8,0.1905
14.5,0.4062
41,1.1485
11,0.3081
5.8,0.1625
14.5,0.4062
35,0.9804
9,0.2521
9,0.2521
14,0.3922
45,1.2605
7.5,0.2101
8,0.2241
13,0.3641
44,1.2325
9,0.2521
18,0.5042
50,1.4006
7.75,0.2171
5.5,0.1541
14,0.3922
34,0.9524
10,0.2801
5.5,0.1541
15.5,0.4342
39,1.0924
8.75,0.2444
15.7,0.4385
34,0.9497
10.5,0.2933
7,0.1955
15.5,0.433
39,1.0894
11,0.3073
6,0.1676
15,0.419
40,1.1173
7.8,0.2179
7.8,0.2179
14.25,0.398
36,1.0056
11.75,0.3282
15.75,0.4399
43.5,1.2151
9,0.2514
14.3,0.3994
44,1.2291
12,0.3352
9.25,0.2584
15,0.419
5.5,0.1536
14,0.3911
36,1.0056
9.5,0.2654
7.5,0.2095
14.5,0.405
38,1.0615
7.8,0.2179
8,0.2235
16,0.4469
37,1.0335
5.05,0.1411
18,0.5028
37,1.0335
7.7,0.2151
15,0.419
42,1.1732
11,0.3073
5.8,0.162
14.5,0.405
35,0.9777
9.3,0.2598
9.5,0.2654
14,0.3911
45,1.257
8,0.2235
8,0.2235
14,0.3911
44,1.2291
9,0.2514
18,0.5028
54,1.5084
7.5,0.2095
5.5,0.1536
14,0.3911
34,0.9497
10,0.2793
6,0.1676
16,0.4469
38,1.0615
8.5,0.2368
16,0.4457
34,0.9471
10.25,0.2855
7.5,0.2089
15.5,0.4318
39,1.0864
11,0.3064
6.5,0.1811
15.5,0.4318
39,1.0864
7.8,0.2173
8.6,0.2396
14,0.39
36,1.0028
11.5,0.3203
15.25,0.4248
43.5,1.2117
9.5,0.2646
13.6,0.3788
44,1.2256
13,0.3621
10.5,0.2925
13.5,0.376
6.75,0.188
14.5,0.4039
38,1.0585
9.5,0.2646
8,0.2228
14.5,0.4039
40,1.1142
7.8,0.2173
8,0.2228
15,0.4178
38,1.0585
5.05,0.1407
18,0.5014
37,1.0306
7.6,0.2117
14.5,0.4039
41,1.1421
11,0.3064
6,0.1671
15,0.4178
36,1.0028
9.3,0.2591
10.5,0.2925
13.2,0.3677
45,1.2535
7.5,0.2089
8.5,0.2368
13.5,0.376
46,1.2813
9,0.2507
18,0.5014
58,1.6156
7.5,0.2089
6.5,0.1811
14.7,0.4095
33,0.9192
10,0.2786
6,0.1671
16,0.4457
38,1.0585
8.6,0.2406
15.5,0.4336
34,0.951
10,0.2797
8,0.2238
15.5,0.4336
39,1.0909
11,0.3077
6.5,0.1818
15,0.4196
40,1.1189
7.5,0.2098
8,0.2238
13.5,0.3776
34,0.951
11.6,0.3245
15.4,0.4308
43.5,1.2168
9,0.2517
13.2,0.3692
44,1.2308
13,0.3636
11,0.3077
13.8,0.386
7,0.1958
14.25,0.3986
37,1.035
9.5,0.2657
8,0.2238
14.5,0.4056
38,1.0629
9,0.2517
9,0.2517
16,0.4476
36,1.007
5.05,0.1413
19,0.5315
37,1.035
7.8,0.2182
14.5,0.4056
40,1.1189
11,0.3077
6,0.1678
13.75,0.3846
36,1.007
10,0.2797
11,0.3077
13,0.3636
45,1.2587
7.5,0.2098
9,0.2517
13,0.3636
45,1.2587
9,0.2517
17,0.4755
69,1.9301
7.35,0.2056
6.5,0.1818
14.1,0.3944
34.5,0.965
10,0.2797
6,0.1678
15.5,0.4336
38,1.0629
8.5,0.2364
15.5,0.4312
34,0.9458
10,0.2782
8,0.2225
15,0.4172
39,1.0848
11.5,0.3199
8,0.2225
15,0.4172
40,1.1127
7.5,0.2086
9.5,0.2643
13.5,0.3755
33,0.9179
12,0.3338
15.5,0.4312
43,1.1961
9,0.2503
13,0.3616
43,1.1961
13,0.3616
11,0.306
13.7,0.3811
7.1,0.1975
14.5,0.4033
36,1.0014
10,0.2782
8.5,0.2364
13.5,0.3755
36,1.0014
10,0.2782
11,0.306
17,0.4729
36,1.0014
5.05,0.1405
19,0.5285
37,1.0292
7.6,0.2114
14,0.3894
39,1.0848
11,0.306
7.65,0.2128
14,0.3894
35,0.9736
11,0.306
11,0.306
13,0.3616
45,1.2517
8.5,0.2364
8.5,0.2364
13,0.3616
45,1.2517
9,0.2503
17,0.4729
70,1.9471
7,0.1947
6.9,0.1919
14,0.3894
34,0.9458
10,0.2782
6,0.1669
15.5,0.4312
37,1.0292
8.5,0.2368
15,0.4179
34,0.9473
10,0.2786
8,0.2229
15,0.4179
39,1.0867
12,0.3344
8,0.2229
14.5,0.404
39,1.0867
8.5,0.2368
9.2,0.2563
13.5,0.3761
33,0.9195
12,0.3344
14.5,0.404
43,1.1981
11.5,0.3204
13,0.3622
43,1.1981
12,0.3344
11,0.3065
13.3,0.3706
8.5,0.2368
13.5,0.3761
36,1.0031
10,0.2786
10,0.2786
13.7,0.3817
36,1.0031
10,0.2786
11,0.3065
16,0.4458
36,1.0031
19,0.5294
37,1.0309
7.8,0.2173
13.8,0.3845
40,1.1145
